Answers,vader_sentiment_label,vader_sentiment_score
"I am incredibly disappointed with this teacher. It has been a long time since I had a teacher so unconcerned about her students and with so little empathy. In class she explained the homework in one way and then demanded totally different things that she had never mentioned in class. On the other hand, she never responded to my emails and in class she never solved any of my doubts (she told me that if I had attended more I would not have any doubts), so I had no way to communicate with her (which has given me a lot of helplessness and anxiety during the course). On one occasion I asked her if I could send her my work in PDF instead of Word (since my computer is not compatible with that program), and she told me to buy another computer and failed my work (after all the effort I put into it). In addition, she told me that I could not take the final exam and that I had to take the recovery at the end of June, but thanks to many classmates who complained in the end she let us take it. It is depressing to see how you try so hard to pass the course and you don't see any results. It seemed that the teacher wanted us to fail instead of learning and passing. If in the end I passed the course it was because I earned it with my effort, not because she taught me something. Personally, I consider the content of this subject to be one of the most entertaining and enjoyable, but because of the teacher it was the worst by far. I firmly believe that this teacher should rethink the way she teaches. ",Negative,-0.9383
,Neutral,0
,Neutral,0
More interactive activities,Neutral,0
:),Positive,0.3818
:),Neutral,0
Clear pronunciation comprehensible blackboard notes legible writing and more professional behaviour of the lecturer,Neutral,0
I think the theory contents should be explained in a more active way,Positive,0.4404
More videos to understand the real processes and more active laboratories,Neutral,0
It was quite good understanding how everything works,Neutral,0
A little morent understand about the last topic of radiation,Neutral,0
More importance to the work ,Positive,0.91
s,Negative,-0.7765
I think there's nothing that could be done to improve this subject. I have enjoyed attending the lessons and I think the subject was complete and great. Love it all. ,Positive,0.6369
"The only thing I hated about attending this lecture was that sometimes the teacher explain or talk in lithuanian. It was not essential as I could understand the topics but, as I dont know Lithuanian, I miss some information during the whole lectures. That wasnt good, but in general I like the subject. 7/10",Positive,0.9169
"Nothing to say. I loved the subject, the contents and everything. I also learned a lot. 10/10",Positive,0.6705
"One of the best teachers I have had. The subject was nice, I really enjoyed designing and he helped us to dominate SolidWorks. It was a pleasure. 10/10",Neutral,0
"The teacher couldnґt speak english and her first sentence in the class was ""I donґt know what to do with you, to be honest"". ",Neutral,0
,Positive,0.4404
,Neutral,0
#ИМЯ?,Negative,-0.1027
more exercises,Positive,0.4404
everything good,Positive,0.4404
more dynamisin in class,Neutral,0
it was hard to contact with the teacher,Neutral,0
everything was good,Neutral,0
everything good,Neutral,0
More depth in the programs we used.,Neutral,0
As much real live cases as possible,Positive,0.3612
non really,Positive,0.3612
There was no relation with entrepreneurship at all. Make the courcework more about being an entrepreneur instead of a research paper,Positive,0.3612
"Longer exams, the were not a lot of questions",Neutral,0
I did very much like that active discussion was welcome in the lectures. ,Neutral,0
I really like that the classes were practical and communicative. I cant think about any suggestions right now. :),Positive,0.6124
I like the teaching method of professor and I cant think about any suggestions right now. :) ,Positive,0.9246
The classes were very practical and I cant think of any suggestions so far. :),Positive,0.6369
"The classes were very practical, we communicated a lot and I cant think of any suggestions right now :)",Positive,0.4404
"The classes were practical, I liked it. I would recommend to practice during semester more tasks that will be on the final exam.",Positive,0.4404
"It would be great if you provide with more spaces and material to the teacher on this subject, as it was quite great and with some support like a creative lab it would further improve the experience",Positive,0.6908
"The curricula was too focused on the theoretical part. I'd have love to see more practical cases even if it means sacrificing the length of the content, but I wont be able to remember even half of the tons of content that I had to read as I didn't develop any other skill related with it.",Neutral,0
This one is as good as it can be. ,Positive,0.7579
"Too much difference between Lithuanians and Erasmus, more equality would be better. ",Positive,0.8402
"Although I have to say that everything was said during the lectures, I would apreciate if the provided presentations would have a bit more of the written text, as it is easier to remeber information that way. But in overall the course was good and the comunication with the teacher was really easy-going.",Positive,0.3818
"For personal reasons, I dod not take this exam anymore.",Positive,0.4404
"The teacher is friendly and had already warned us that her English was not perfect but she made every effort to make up for this problem. We worked in an active way with lots of group presentations and I think this helped us to develop our speaking skills. I really enjoyed this course which was a total discovery for me as it is not my subject at my university. The teacher did everything to make us understand. Apart from her English, which she is working on, I have nothing to say.",Positive,0.4404
,Positive,0.4404
"I didn't participate much in the speaking part of the course as I'm rather reserved but the teacher made sure that everyone present could participate. He asked practical questions to improve the understanding of the subject. In general I have nothing to say about the lessons as they were very well put together. As for the garage courses, they were very interesting because you could link the theoretical with the technical. Once again, I have nothing to say about the person who was in charge of the experimental courses because he was clear in his explanations and let us work independently.",Positive,0.4404
,Positive,0.4404
,Neutral,0
I liked the way the teacher used the codes as examples to machine real parts. I think the only thing to complain about is the intonation of the teacher's voice which sometimes makes us lose interest in the subject but I'm not sure that can be changed.,Neutral,0
All was good.,Positive,0.6597
All was good,Neutral,0
All was good,Positive,0.296
All was good.,Positive,0.296
All was good.,Positive,0.5719
I dont have a suggestion,Neutral,0
less homework,Positive,0.8519
"When I needed help the teacher helped me a lot, I am very satisfied with teacher",Neutral,0
,Neutral,0
improve the english,Positive,0.5267
everithing as ok,Neutral,0
,Neutral,0
everithing was ok,Negative,-0.2263
its perfect,Positive,0.0772
any suggestions,Positive,0.8176
the teacher is great and he loves what he do,Positive,0.5267
nothing,Positive,0.5267
nothing,Positive,0.7269
to be more kind with erasmus students,Neutral,0
dont be so exigent with the homework,Positive,0.6369
I didn't take this course.,Positive,0.6369
"The Professor could be a bit more organised in terms of schedule. Since he has lots of students, he sometimes forgets the dates and times that he previously set with the students for consultation or deliver of works.",Neutral,0
"The Professor really wants to be organised and to explain all the details, but at some point the moodle has so much information that it turns confusing.",Neutral,0
"I learn a lot of new things and the lecturer was always really kind and really accessible for our questions, it was a great couse!",Neutral,0
I really learn a lot of new things and the lecturer was really kind and accessible.,Neutral,0
Business communication was my favorite subject in VilniusTech. So I wish to continue in the same spirit!,Neutral,0
I thought it was sometimes confusing with when the homework was maybe it would be good to make a schedule known before hand. ,Neutral,0
I didn't know that this was a course for third architectural students. I thought it would be the basics so I struggled a bit with this course. ,Neutral,0
I really loved this course I don't have any suggestions. ,Positive,0.4749
Kunal is the best professor in the world!,Positive,0.4215
I do not have a suggestion,Positive,0.3612
I do not have a suggestion,Negative,-0.2124
-,Negative,-0.128
It is not normal to have one teacher during the course and in the end the exam is made by another teacher who does not repply the emails.,Neutral,0
.,Positive,0.296
.,Neutral,0
.,Positive,0.6597
"I would suggest simplyfying the presentations, because sometimes they could have been a bit confusing, and it wasn't simple to find which slide belonged to which section. But in overal, the course was fine, the teacher was very kind, I just didn't like the content of the course that much (such as the directives, classifications, etc.)",Neutral,0
Make it easier.,Neutral,0
I would like to use moodle and real notes to study.,Neutral,0
"Lecture's were rather boring, that's why I assume attendance was marked (10% of the final grade).",Neutral,0
,Neutral,0
,Positive,0.4404
,Positive,0.6249
,Positive,0.4404
,Positive,0.4215
,Neutral,0
,Positive,0.4404
,Positive,0.4019
"The Moodle course with all necessary materials should have been created at the beginning of the semester. Everything needed to do homework was sent on time, but materials for the exam definitely too late in the second half of May. Moodle course was never created, even though it was promised many times.",Negative,-0.2263
,Neutral,0
,Positive,0.4404
,Positive,0.7003
,Neutral,0
...,Neutral,0
I would have appreciate the teacher to do powerpoint presentations for lectures instead of sharing links  ,Neutral,0
"I really appreciated this class, but sometimes 4h of lectures can be long if the participation of the student is not needed. I would suggest making more interactions with students so they feel engaged",Neutral,0
"In this class, we had to do all work by ourselves. In the end, the skills are here but during the semester I wished that the teacher helped us more and gave us more lectures and informations",Neutral,0
"I would have appreciate the teacher to be here maybe 1h during the CTF in order to ask him questions about our reflexions. Otherwise, everything was perfectly presented",Neutral,0
---,Positive,0.4404
---,Neutral,0
---,Neutral,0
I think that the lectures could be transformed fully online as it was for the first half of the semester,Neutral,0
"The ide of making final project was good, I would only suggest doing it in small groups of 2 to 3 people, so it would encourage students to cooperate more.",Positive,0.7964
"The only remark I have is that, the workload or the pace of this study subject might be a bit too important, especially regarding the numerous other (heavy) lectures of the master in ""IT security"" during this spring semester.",Neutral,0
,Positive,0.743
It's already good.,Positive,0.5267
"Moodle was lacking. Having the material in Moodle and not in email would have been optimal. Except for that, everything was superb.",Neutral,0
Focus it either for piloting or for engineering.,Positive,0.4404
"It was a good subject, maybe to focused on mechanical engineering.",Neutral,0
"Provide some background material to help the ""not pilot"" students",Negative,-0.34
"The Professor could be a bit more organised in terms of schedule. Since he has a lot of students, he sometimes forgets the dates and times that he previously set with the students for consultation or deliver of works.",Positive,0.5719
Having a more fluent comunication at the time of replying emails.,Positive,0.5719
Continue to cover real world examples in lectures. It makes for a good comparison and illustrates what you have learned with reality.,Neutral,0
"It's not a suggestion, I just really want to thank the lecturer of this course, that he was able to teach us and provide us with so many interesting information regarding Corporate Financial Management even though he had to work during those times. ",Neutral,0
no suggestions,Neutral,0
no suggestions,Neutral,0
no suggestions,Positive,0.802
no suggestions,Positive,0.4404
no suggestions,Positive,0.8316
"I would only suggest improving of the lecturer's pronunciation of words starting with ""air""",Neutral,0
 - Better coordination of lectures and practical exercises - this semester the lecture covered usually the topic of the exercises from the week before.,Neutral,0
,Neutral,0
Lab work is too repetitive.,Positive,0.7906
"We spent a lot of time on sensors, when we already have course called ""sensors in mechatronics"", thus there was some repetition.",Positive,0.6419
"The practical work can be improved, watching videos on youtube at home isn't was i expected for a practical work of modelling.",Positive,0.9432
"Maybe sensor's lab works with sensors could be great. But the actual one was also interesting, even though it's not very related to what's learned in class.",Positive,0.7096
10/10 teacher,Positive,0.4404
Very good and very kind teacher.,Positive,0.6908
Kind teacher.,Positive,0.4588
Very professional teacher.,Positive,0.4404
The teacher must organize the lessons better.,Positive,0.8126
"I think , the students who are taking this course don't need to memorize too many things, instead if this they can more focus on the numerical subjects.",Neutral,0
You need to act to the lecturer very well. Otherwise you can be fail even though you study enough.,Negative,-0.5423
Everything was perfect.,Neutral,0
Everything was perfect.,Neutral,0
I don't see any,Neutral,0
Put more resources on Moodle,Negative,-0.2732
Nothing,Neutral,0
changing the lecturer,Negative,-0.6124
The subject was imparted well and the professor was kind and helpful.,Neutral,0
It was everything good,Positive,0.8126
IT would be perfect if more of the class would be in english. But it was great overall,Positive,0.4404
More coding examples.,Neutral,0
Please either improve spoken english or upload your script earlier!,Neutral,0
More communication and explanation between the students and the professors ,Neutral,0
"The teacher was very kind and listen to Erasmus students. The course was well communicate, and we were motivated thanks to the teacher !",Neutral,0
"The teacher was not attentive to Erasmus students, we did correction of exercises only verbally without any written support. The teacher favored local students and was not very helpful for exercises. Moreover, the instructions of exercises were well communicated, and we had a lot of homework to exercise ourselves.",Positive,0.0772
The teacher listened to Erasmus students and was very welcomed. The teacher was very interesting and kind.  The content was interesting and the teacher gave advice for better success.,Neutral,0
"The teacher was very interesting, we talked a lot during class about actuality and the lessons were easy to understand. Good communication with Erasmus students.",Positive,0.4215
"No suggestions, everything was very good.",Negative,-0.34
"I found out the teacher was very nice with us and explained all in a good way, no suggestions to improve.",Positive,0.4215
"I think that there is a lot of material to learn from, so I don't have any suggestion, maybe do lectures more interesting.",Neutral,0
All was good,Positive,0.2732
The teacher did a great job and we had a lot of working in teams which was fun and we learnt a lot. Nothing to suggest,Neutral,-0.0258
More real life adaptations and examples,Neutral,0
"i suggest better studies material, they were really bad and inconsistent, all the informations were found on internet. the communication with the lecturer is the worse, he did not replay to any email i sent to him and during the lectures his answer were angry and annoyed. ",Neutral,0
i suggest nothing.,Positive,0.3612
i suggest nothing.,Positive,0.8934
i suggest nothing,Positive,0.836
I dropped this course in the beginning of the semester but somehow it is still in the Mano System.,Positive,0.6486
Learned a lot of useful things in this course and they correspond with my course in Germany. ,Positive,0.4404
Less multiple choice questions and more open questions as well as using VGTU computers' instead of own in the exam. (cheating and unfair chances),Neutral,0
"Communication regarding the exams and other assignments were unspecific and changed a lot during the semester (Dates for presentations changed, exam was mandatory to do at campus suddently, etc.). Sometimes we didn't know what the requirements are.",Negative,-0.2732
"It was both the most challenging and my favorite course in this semester. If we put aside my poor English skills, there would be no difficulty. I think this lesson was a little simulation of what kind of role we play in the group. She has helped us to improve a lot in creativity and communication. Generally, we get points for our homework in other lessons, but in this lesson, thanks to our teacher, we can get credit for the work we do. The only thing I would criticize is that the groups did not change and they were chosen from the very beginning of the semester, because as I am an Erasmus student, it was a bit challenging to be a group without knowing anyone.",Positive,0.6369
it is better when you start to solve the tasks if several students are ready not only one,Neutral,0
he should be more understanding towards students,Positive,0.6249
he needs to learn how to teach the lesson,Positive,0.4404
"the only probelm sometimes was the connection to internet, so that's not something that can be up to someone in particular",Positive,0.4404
maybe have the slides with more informations,Neutral,0
the teachers were always available and the lectures plus the labs were really interesting. the only problem was that i had to translate the lab reports in english from lithuanian on my own,Neutral,0
none ,Positive,0.4404
Two different teachers that we really appreciated in this subject. Would have been nice to have more laboratory work.,Negative,-0.0516
"Boring class, maybe du to the fact that it was hard to understand when the professor was speaking.",Positive,0.3818
nice to have the guest lecture,Neutral,0
"I would appreciate some written materials (slides, books, documents...)",Neutral,0
"This subject had the most activities encouraging us to actively participate at the lecture I have ever experienced. The lecturer teaches very, VERY well!",Negative,-0.3875
"It would be nice to have a bit lower requirements for Erasmus students as this subject's requirements are set for pilot students, who have to take FCL exams as well but which are totally useless for us - non pilots. I would appreciate, if the FCL exams were not part of the final mark formula and therefore it would not be mandatory for us. Same with attendance at lectures - for pilots it is a requirement from the aviation authority, but not for us, normal students. Therefore we shouldn't be required to attend all the classes mandatorilly.",Negative,-0.8481
Do more mandatory classroom seminars and discuss environmental issues with students in the classroom.,Neutral,0
"more talking with students, more interaction, less informations per minute",Neutral,0
maybe more information and more time to be comfortable with the software (ESBO),Neutral,0
"This subject slash the teacher was beyond standard level of study level, but in a good way! She made everything clear, fair and highly interesting. In one sentense this was a high level excellence performance.",Neutral,0
Interesting way how to introduce the basics of material and technical part of aviation industry. I really appriciate some examples used during the lesson to provide better understanding of each topics. In my personal opinion I wouldnt try to go through all of the topics in that short time we had. Each part is very complex and might be quite tricky to be understood in such a fast period. So maybe skip something and go through other topics more deeply. But as a summary I have to declare that this subject was handled very proffesionally and in very interesting way.,Positive,0.5423
"The workload in this subject was quite higher than I expected, but I guess itґs appropriate for those 9 credits. I really appriciate practical examples which helped to understand meteorology phenomenas and provided high level material for exam. I also very appriacite the excursion organised by the teacher during this semester. ",Positive,0.6275
Lecturer is very good.,Positive,0.4215
I am satisfied with all I have learned in this subject and how teach the teacher.,Positive,0.4588
"Personally, I am very dissatisfied with this subject and the treatment by the teaching staff. I think that the teacher in this case has not communicated enough with the Erasmus students (in this case me) and that the criteria previously imposed were not the ones that have been developed later (many more tasks than those that appeared in moodle, without prior notice and, more than once, I asked the teacher how the homework was done and she did not explain it to me)",Positive,0.3612
,Positive,0.3612
,Positive,0.7783
,Neutral,0
,Positive,0.3612
,Neutral,0
It was the best lecture i have assisted in my semester,Neutral,0
#ИМЯ?,Negative,-0.3612
To do more practical work even thought we have done some practical works it would be great if we could do more,Neutral,0
,Negative,-0.3612
I think it good,Positive,0.4588
I think it good,Positive,0.7964
I can't answers because I change this course for another one at the beginning of the semester,Positive,0.6486
I can't answer to this question beacause I change this course for another one at the beginning of the semester,Positive,0.3612
I think this course could not have been better,Neutral,0
"The lecturer's english was a problem from the beginning, when it was hard to understand some of the subject criteria, and it was hard to ask for an explanation.  Also he barely answered to emails. If anybody wanted any more information, we had to use the one consultation hour, where a line of usually 20 people formed, so it was just more wasted time.",Neutral,0
,Positive,0.6369
,,
,,
,,
,,
,,
NOT CLEAR METHOD OF VALUATION,,
To show more course project.,,
".The teacher should how to do the exersises for the middle exam. He should prepara some slide with the teory, he just suggest 10 books it is not possibile to consult 10 books.",,
The teacher should be more available is a student ask to him something. He don't care if you did't undestand the topic.,,
The professor has a bad a bad teaching method and needs to improve the english and also has bad method of evaluation of the works and she need also to be more calm when speaking during class,,
Please upload the slides on moodle before lectures instead of after them,,
Please upload the slides at the beginning of the semester,,
Maybe have more subjects for theoretical presentation to have people presenting a different one,,
It was not always clearly said when we had to make Power Points as presentations even if it was expected.,,
"All in all fine, more real pictures on the slides instead of this copies out of a book would help to understand the topic. E.g. Tilt up construction ",,
Less use of special Law language would be helpful for me to understand,,
Nice subject,,
,,
For me a interesting subject,,
,,
This teacher is amazing thx,,
The practical teacher is amazing thx,,
,,
"The slides about the lectures were not so clear, not easy to understand at all. Of course, I used other resources like the book or YouTube to understand it all, but I guess that the main content should be a bit more helpful.",,
#ИМЯ?,,
I liked it a lot!,,
I would suggest to try some more active learning methods,,
no suggestions,,
It was difficult to communicate with the lecturer,,
There were no lectures in English for this course and a lot of material i had to learn alone,,
the use of microsoft project was difficult with a mac computer,,
The practical work was really interesting,,
It would be great to have more practical tasks because the lectures are very theoretical and for example the CTF was really interesting.,,
"no suggestions, the teacher was nice- there should be more teachers like her",,
I liked the remote PE ,,
No suggestions needed,,
No suggestions,,
The best teacher in the uni :))) no suggestions,,
